raceId,driverId,constructorId,grid,laps,top3
18,1,1,1,58,1
18,2,2,5,58,1
18,3,3,7,58,1
18,4,4,11,58,0
18,5,1,3,58,0
18,6,3,13,57,0
18,7,5,17,55,0
18,8,6,15,53,0
18,9,2,2,47,0
18,10,7,18,43,0
18,11,8,19,32,0
18,12,4,20,30,0
18,13,6,4,29,0
18,14,9,8,25,0
18,15,7,6,19,0
18,16,10,22,8,0
18,17,9,14,0,0
18,18,11,12,0,0
18,19,8,21,0,0
18,20,5,9,0,0
18,21,10,16,0,0
18,22,11,10,58,0
19,8,6,2,56,1
19,9,2,4,56,1
19,5,1,8,56,1
19,15,7,3,56,0
19,1,1,9,56,0
19,2,2,5,56,0
19,17,9,6,56,0
19,4,4,7,56,0
19,14,9,12,56,0
19,18,11,11,56,0
19,12,4,13,56,0
19,21,10,17,55,0
19,22,11,14,55,0
19,3,3,16,55,0
19,19,8,21,55,0
19,11,8,19,54,0
19,6,3,22,54,0
19,20,5,15,39,0
19,13,6,1,30,0
19,16,10,20,5,0
19,10,7,10,1,0
19,7,5,18,0,0
20,13,6,2,57,1
20,8,6,4,57,1
20,9,2,1,57,1
20,2,2,6,57,0
20,5,1,5,57,0
20,15,7,7,57,0
20,17,9,11,57,0
20,3,3,8,57,0
20,10,7,13,57,0
20,4,4,10,57,0
20,22,11,12,57,0
20,21,10,18,56,0
20,1,1,3,56,0
20,6,3,16,56,0
20,7,5,15,56,0
20,19,8,21,56,0
20,11,8,22,56,0
20,14,9,17,56,0
20,16,10,20,56,0
20,12,4,14,40,0
20,18,11,9,19,0
20,20,5,19,0,0
21,8,6,1,66,1
21,13,6,3,66,1
21,1,1,5,66,1
21,9,2,4,66,0
21,17,9,7,66,0
21,18,11,13,66,0
21,6,3,12,66,0
21,15,7,8,66,0
21,2,2,9,66,0
21,21,10,19,65,0
21,10,7,14,65,0
21,14,9,17,65,0
21,11,8,22,65,0
21,3,3,15,41,0
21,4,4,2,34,0
21,22,11,11,34,0
21,5,1,6,21,0
21,19,8,21,8,0
21,7,5,16,7,0
21,12,4,10,6,0
21,16,10,20,0,0
21,20,5,18,0,0
22,13,6,1,58,1
22,1,1,3,58,1
22,8,6,4,58,1
22,9,2,5,58,0
22,2,2,9,58,0
22,4,4,7,58,0
22,17,9,6,58,0
22,3,3,11,58,0
22,14,9,10,58,0
22,15,7,8,58,0
22,18,11,13,57,0
22,5,1,2,57,0
22,10,7,15,57,0
22,22,11,12,57,0
22,12,4,17,57,0
22,16,10,19,57,0
22,20,5,14,57,0
22,7,5,18,24,0
22,6,3,16,1,0
22,21,10,20,0,0
23,1,1,3,76,1
23,9,2,5,76,1
23,13,6,1,76,1
23,17,9,9,76,0
23,20,5,19,76,0
23,22,11,14,76,0
23,6,3,13,76,0
23,5,1,4,76,0
23,8,6,2,76,0
23,4,4,7,75,0
23,18,11,11,75,0
23,10,7,10,75,0
23,15,7,8,75,0
23,2,2,12,72,0
23,16,10,18,67,0
23,3,3,6,59,0
23,12,4,17,47,0
23,21,10,20,36,0
23,14,9,15,7,0
23,7,5,16,7,0
24,9,2,2,70,1
24,2,2,8,70,1
24,14,9,13,70,1
24,10,7,11,70,0
24,13,6,6,70,0
24,15,7,14,70,0
24,22,11,9,70,0
24,20,5,19,70,0
24,5,1,7,70,0
24,3,3,5,70,0
24,18,11,20,70,0
24,17,9,10,70,0
24,7,5,18,69,0
24,21,10,17,51,0
24,6,3,12,46,0
24,4,4,4,44,0
24,12,4,15,43,0
24,8,6,3,19,0
24,1,1,1,19,0
24,16,10,16,13,0
25,13,6,2,70,1
25,8,6,1,70,1
25,15,7,4,70,1
25,5,1,10,70,0
25,9,2,5,70,0
25,17,9,6,70,0
