season,league_name,home_team_api_id,away_team_api_id,result
2008/2009,Belgium Jupiler League,9987,9993,Draw
2008/2009,Belgium Jupiler League,10000,9994,Draw
2008/2009,Belgium Jupiler League,9984,8635,Away Win
2008/2009,Belgium Jupiler League,9991,9998,Home Win
2008/2009,Belgium Jupiler League,7947,9985,Away Win
2008/2009,Belgium Jupiler League,8203,8342,Draw
2008/2009,Belgium Jupiler League,9999,8571,Draw
2008/2009,Belgium Jupiler League,4049,9996,Away Win
2008/2009,Belgium Jupiler League,10001,9986,Home Win
2008/2009,Belgium Jupiler League,8342,8571,Home Win
2008/2009,Belgium Jupiler League,9985,9986,Away Win
2008/2009,Belgium Jupiler League,10000,9991,Away Win
2008/2009,Belgium Jupiler League,9994,9998,Draw
2008/2009,Belgium Jupiler League,7947,10001,Draw
2008/2009,Belgium Jupiler League,8203,9999,Away Win
2008/2009,Belgium Jupiler League,9996,9984,Away Win
2008/2009,Belgium Jupiler League,4049,9987,Away Win
2008/2009,Belgium Jupiler League,9993,8635,Away Win
2008/2009,Belgium Jupiler League,8635,9994,Away Win
2008/2009,Belgium Jupiler League,9998,9996,Draw
2008/2009,Belgium Jupiler League,9986,8342,Draw
2008/2009,Belgium Jupiler League,9984,10000,Home Win
2008/2009,Belgium Jupiler League,9991,7947,Draw
2008/2009,Belgium Jupiler League,9999,4049,Away Win
2008/2009,Belgium Jupiler League,8571,8203,Draw
2008/2009,Belgium Jupiler League,10001,9987,Home Win
2008/2009,Belgium Jupiler League,9993,9985,Away Win
2008/2009,Belgium Jupiler League,8342,8635,Draw
2008/2009,Belgium Jupiler League,9987,9999,Draw
2008/2009,Belgium Jupiler League,10000,9993,Draw
2008/2009,Belgium Jupiler League,9994,9985,Draw
2008/2009,Belgium Jupiler League,7947,8571,Home Win
2008/2009,Belgium Jupiler League,8203,9998,Draw
2008/2009,Belgium Jupiler League,9996,9986,Home Win
2008/2009,Belgium Jupiler League,4049,9984,Home Win
2008/2009,Belgium Jupiler League,10001,9991,Home Win
