team1,team2,venue,toss_winner,toss_decision,winner
13,6,23,13,1,6
10,0,40,0,0,0
2,11,16,11,0,2
8,13,55,8,0,13
6,1,14,1,0,6
11,10,46,10,0,11
1,2,42,1,0,2
0,8,27,8,1,0
1,11,42,11,1,11
10,8,40,8,1,10
13,11,23,11,1,11
0,6,27,6,0,0
8,1,9,1,1,1
10,2,40,2,0,10
13,0,23,0,0,0
6,8,14,6,0,8
2,13,16,13,1,2
1,10,42,10,1,10
11,6,46,11,0,11
0,2,27,0,0,2
10,6,40,10,0,10
13,1,23,1,1,13
8,2,9,2,1,8
11,0,46,0,0,11
13,10,23,10,1,10
0,1,27,1,1,1
8,11,9,8,1,8
2,0,16,0,1,0
6,13,14,6,0,6
11,1,46,11,1,11
0,10,27,10,1,0
1,6,42,6,0,6
11,2,46,11,1,11
10,13,40,13,0,10
6,2,14,6,0,6
8,0,55,8,1,8
2,1,16,1,1,2
8,6,55,8,1,8
2,10,16,2,0,10
11,13,46,13,1,11
1,8,42,1,1,8
6,0,14,6,0,0
13,2,23,2,1,2
6,11,14,11,1,11
8,10,55,8,1,10
0,13,27,13,0,13
10,1,40,10,1,10
2,8,16,2,1,2
0,11,27,11,0,11
1,13,42,1,0,13
6,10,14,10,0,6
11,8,46,11,1,11
1,0,42,1,0,0
13,8,23,8,1,8
10,11,40,11,1,10
2,11,55,2,1,11
0,10,55,10,0,0
0,11,9,11,1,11
0,8,35,0,1,8
13,11,35,13,0,13
2,10,35,2,1,2
1,6,35,6,0,1
13,0,51,0,0,0
10,6,22,6,1,6
13,1,35,1,0,1
0,2,22,2,0,2
6,11,35,6,1,11
13,10,22,13,0,10
1,8,22,1,0,1
13,2,51,13,0,2
10,11,35,10,0,10
0,1,22,1,1,1
6,8,51,8,0,8
2,11,53,2,0,11
13,6,22,6,0,13
10,8,22,10,0,10
1,2,53,2,1,2
0,11,53,11,1,0
6,8,7,8,0,8
13,10,22,13,0,13
1,11,51,1,0,11
0,2,34,2,1,0
10,6,51,6,0,10
13,8,34,8,0,13
0,1,7,0,0,0
10,11,22,10,1,11
2,6,22,6,0,2
1,8,53,1,0,1
13,11,53,11,1,11
0,10,53,0,0,0
2,8,7,8,0,2
1,10,8,10,1,10
0,11,8,11,0,0
13,8,51,8,0,8
2,6,34,2,1,2
1,11,8,1,0,1
13,6,53,13,1,13
10,8,53,10,0,8
1,2,22,1,1,2
13,0,22,0,0,13
8,11,22,11,0,11
2,10,36,10,1,10
0,8,51,8,0,0
1,6,34,1,1,1
1,10,34,1,1,10
2,11,36,2,0,2
0,6,53,0,0,6
13,2,34,2,0,13
6,11,22,6,1,6
0,10,22,0,0,0
2,8,53,2,1,2
13,1,53,13,0,13
2,1,53,1,1,1
13,0,34,13,1,13
13,1,34,13,1,1
1,6,9,1,1,6
8,11,5,8,0,8
10,2,40,2,1,2
6,13,14,6,1,6
0,1,27,1,0,1
11,2,44,2,1,2
13,10,23,10,0,13
6,0,14,0,0,0
2,8,16,2,1,8
13,11,23,13,1,13
2,0,16,2,0,0
1,10,2,10,1,1
11,6,44,11,0,11
8,13,5,8,0,13
1,2,2,1,0,1
0,10,27,0,1,10
8,6,5,6,0,8
13,0,23,0,1,13
10,11,40,10,1,11
0,8,6,8,1,8
13,2,23,13,1,2
11,1,44,1,0,11
10,6,40,6,0,6
11,0,44,11,0,11
1,8,9,1,1,8
2,6,16,2,0,2
8,10,5,8,1,8
0,13,27,13,0,0
2,11,16,2,0,2
6,1,14,6,0,6
10,13,40,10,0,13
0,11,27,0,0,0
8,1,5,8,0,8
6,10,14,6,0,10
2,13,16,2,0,2
1,11,54,11,0,11
0,8,27,0,0,0
11,10,46,10,0,11
6,2,14,6,0,6
13,1,23,1,1,1
10,8,40,8,0,10
1,0,54,0,0,1
13,6,23,13,1,13
2,10,16,2,0,10
11,8,46,11,1,8
1,13,54,13,1,1
8,2,5,8,0,8
0,6,27,6,0,0
11,13,46,11,0,13
0,2,27,0,0,2
10,1,18,1,1,1
13,8,23,13,1,8
6,11,14,11,0,6
10,0,18,0,1,0
2,1,16,1,0,1
6,8,14,8,0,6
13,8,9,8,0,8
0,1,9,0,0,0
13,1,9,1,0,13
0,8,9,0,0,0
0,6,27,0,0,0
1,11,42,11,1,11
5,13,33,5,0,13
2,8,16,2,0,8
9,10,9,10,0,9
6,1,14,6,0,6
11,2,46,2,0,11
13,8,23,8,1,8
10,0,40,10,1,10
9,5,9,5,0,9
1,13,42,13,1,1
11,6,46,6,1,6
8,5,55,5,1,5
0,13,27,0,0,0
1,10,42,10,1,10
9,2,9,2,1,2
6,11,14,6,1,6
5,0,33,5,1,5
2,1,16,1,0,1
8,9,55,9,0,8
6,5,14,6,1,5
10,11,40,11,1,10
8,0,55,0,1,8
6,13,14,13,1,13
2,10,16,10,1,2
1,8,42,1,1,8
11,5,46,11,1,11
0,9,27,9,1,0
2,13,16,13,1,13
9,0,9,9,0,0
5,1,33,5,1,1
2,6,16,2,1,6
11,8,46,11,1,11
13,9,23,9,1,13
5,2,33,2,0,2
6,10,14,6,1,6
11,9,46,11,1,11
0,1,27,0,0,0
8,10,55,10,1,8
2,5,16,5,1,5
1,6,42,1,1,6
0,11,27,11,0,0
9,8,9,9,1,8
5,6,33,6,1,5
1,2,42,2,1,2
13,10,23,10,1,13
6,0,14,0,0,6
8,2,55,2,1,8
13,5,23,5,0,13
10,9,40,10,0,9
11,0,46,11,1,0
1,9,42,1,0,9
10,8,40,8,1,10
11,13,46,13,1,13
0,2,27,0,0,0
5,10,20,10,1,10
13,6,23,13,1,13
8,1,55,1,0,1
10,2,18,2,1,10
5,11,20,5,1,5
9,1,9,1,1,1
10,13,18,10,0,10
0,5,27,0,0,0
9,6,9,6,1,6
8,11,55,8,0,11
10,1,18,10,1,1
13,0,23,13,1,13
6,8,14,8,1,8
13,0,55,0,1,0
8,6,55,8,1,8
13,8,27,8,1,13
0,13,27,0,0,0
0,8,27,8,1,8
6,2,14,2,1,2
8,9,55,8,1,9
11,10,46,10,1,11
13,2,23,2,1,13
1,0,11,1,1,0
11,6,46,6,1,11
9,10,52,9,0,9
1,8,11,1,0,8
13,6,23,13,1,6
2,0,16,2,1,2
8,11,55,11,1,8
0,13,27,13,0,0
10,9,40,10,1,10
6,11,14,11,0,6
9,0,52,0,0,9
6,10,14,6,1,10
13,11,23,11,0,11
8,2,55,2,1,2
11,1,46,1,0,11
13,9,23,9,0,13
10,6,40,10,0,6
2,1,16,1,0,2
0,9,27,9,1,0
10,13,40,13,1,13
0,11,27,11,0,0
2,9,16,2,1,9
8,10,55,8,0,10
1,6,2,6,1,6
